Location,Population,Language,Description
Nasugbu,136.524,  Balaytigui                       ,"Nasugbu, officially the Municipality of Nasugbu (Tagalog: Bayan ng Nasugbu),  is a 1st class municipality in the province of Batangas, Philippines. According to the 2020 census, it has a population of 136,524 people.[3]
"
Cabanatuan,327.325,Kapampangan Tagalog Ilocano,"Cabanatuan, officially the City of Cabanatuan (Filipino: Lungsod ng Cabanatuan; Ilocano: Siudad ti Cabanatuan), is a 1st class component city in the province of Nueva Ecija, Philippines. According to the 2020 census, it has a population of 327,325 people,[3] making it the most populous city in Nueva Ecija and the fifth-most populous in Central Luzon.
"
San Juan,126.347,Tagalog,"San Juan, officially the City of San Juan (Filipino: Lungsod ng San Juan), is a 1st class highly urbanized city in the National Capital Region of the Philippines. According to the 2020 census, it has a population of 126,347 people.[4] It is geographically located at Metro Manila's approximate center and is also the country's smallest city in terms of land area.
"
Boracay,37.802,Ati[1]AklanonHiligaynonKaray-a,"Boracay ([bɔˈrakaɪ]; often locally shortened to Bora) is a resort island in the Western Visayas region of the Philippines, located 0.8 kilometers (0.50 mi) off the northwest coast of Panay. It has a total land area of 10.32 square kilometers (3.98 sq mi), under the jurisdiction of three barangays in Malay, Aklan, and had a population of 37,802 in 2020.[2]
"
"Puerto Princesa, Palawan",307.079,Ibatag Palawano Tagalog,"Puerto Princesa, officially the City of Puerto Princesa (Cuyonon: Siyudad i'ang Puerto Princesa; Filipino: Lungsod ng Puerto Princesa), is a 1st class highly urbanized city in the Mimaropa region of the Philippines. According to the 2020 census, it has a population of 307,079 people.[5]
"
"Coron, Palawan",65.855,Calamian Tagbanwa Kagayanen Palawano Tagalog,"Coron, officially the Municipality of Coron (Tagalog: Bayan ng Coron),  is a 1st class municipality in the province of Palawan, Philippines. According to the 2020 census, it has a population of 65,855 people.[3]
"
"El Nido, Palawan",50.494,Palawano Tagalog,"El Nido, officially the Municipality of El Nido (Cuyonon: Banwa i'ang El Nido, Tagalog: Bayan ng El Nido), is a 1st class municipality in the province of Palawan, Philippines. According to the 2020 census, it has a population of 50,494 people.[3]
"
Bohol,104.976,Boholano dialect Cebuano Tagalog,"Tagbilaran, officially the City of Tagbilaran (Cebuano: Dakbayan sa Tagbilaran), is a 3rd class component city and capital of the province of Bohol, Philippines. According to the 2020 census, it has a population of 104,976 people.[3]
"
Banaue,20.652,Ifugao Tuwali Ilocano Tagalog,"Banaue (or alternatively spelled as Banawe), officially the Municipality of Banaue  is a 4th class municipality in the province of Ifugao, Philippines. According to the 2020 census, it has a population of 20,652 people.[3]
"
Cebu,3325.385,Cebuano Porohanon Bantayanon,"Cebu (/sɛˈbuː/ seb-OO; Cebuano: Sugbo), officially the Province of Cebu (Cebuano: Lalawigan sa Sugbo; Tagalog: Lalawigan ng Cebu), is a province of the Philippines located in the Central Visayas (Region VII) region, and consists of a main island and 167 surrounding islands and islets. Its capital and largest city is Cebu City, nicknamed ""the Queen City of the South"", the oldest city and first capital of the Philippines, which is politically independent from the provincial government.
"
Albay,1374.768,BikolTagalogEnglish,"Albay,  officially the Province of Albay (Central Bikol: Probinsya kan Albay; Tagalog: Lalawigan ng Albay .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}IPA: [ɐl'baɪ]), is a province in the Bicol Region of the Philippines, mostly on the southeastern part of the island of Luzon. Its capital (and largest city) is the city of Legazpi, the regional center of the whole Bicol Region, which is located in the southern foothill of Mayon Volcano.[3]
"
Siquijor,103.395,Cebuano language Tagalog,"Siquijor (/ˌsɪkiˈhɔːr/ SIK-ee-HOR, .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}Tagalog: [sɪkɪˈhɔɾ]), officially the Province of Siquijor (Cebuano: Lalawigan sa Siquijor; Tagalog: Lalawigan ng Siquijor), is an island province in the Philippines located in the Central Visayas region. Its capital is the municipality also named Siquijor. To the north of Siquijor is Cebu, to the west is Negros, northeast is Bohol, and to the south, across the Bohol Sea, is Mindanao.
"
Batangas,2908.494,"""}Tagalog(Batangueñodialect)English","Batangas is one of the most popular tourist destinations near Metro Manila. It is home to the well-known Taal Volcano, one of the Decade Volcanoes, and the small nearby town of Taal which keeps ancestral houses, churches, and other architecture dating back to the 19th century. The province also has numerous beaches and diving spots including Anilao in Mabini, Sombrero Island in Tingloy, Ligpo Island and Sampaguita Beach in Bauan, Matabungkay in Lian, Punta Fuego in Nasugbu, Calatagan and Laiya in San Juan. All of the marine waters of the province are part of the Verde Island Passage, the center of the world's marine biodiversity.
"
Vigan,53.935,Ilocano Tagalog,"Located on the western coast of the large island of Luzon, facing the South China Sea, it is a UNESCO World Heritage Site[5] and it is one of the few Spanish colonial towns left in the Philippines whose old structures have mostly remained intact. It is well known for its sett pavements and a unique architecture of the Spanish Philippines  colonial era which fuses Native Philippine and Oriental building designs and construction, with colonial Spanish architecture that is still abundant in the area, mainly the bahay na bato houses and an Earthquake Baroque church. Former Philippine president Elpidio Quirino, the sixth president of the Philippines, was born in Vigan, at the former location of the Provincial Jail (his father was a warden).[6] He also resided in the Syquia Mansion, which is a wedding gift of his in-laws to his wife.[6] The entire city of Vigan was later inscribed as a UNESCO World Heritage City after being declared as a UNESCO World Heritage Site. It is a member of the Organization of World Heritage Cities (OWHC).
"
